dex,name,type1,type2,area,how_obtained,source_url
738,Vikavolt,Bug,Electric,Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded flower bed (Rare),https://www.serebii.net/pokemonpokopia/pokedex/vikavolt.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
778,Mimikyu,Ghost,Fairy,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Pikachu space (Common),https://www.serebii.net/pokemonpokopia/pokedex/mimikyu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
921,Pawmi,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Breezy flower bed (Common); Tantalizing restaurant (Common),https://www.serebii.net/pokemonpokopia/pokedex/pawmi.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
922,Pawmo,Electric,Fighting,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tantalizing restaurant (Common); Café space (Common),https://www.serebii.net/pokemonpokopia/pokedex/pawmo.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
923,Pawmot,Electric,Fighting,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Café space (Common),https://www.serebii.net/pokemonpokopia/pokedex/pawmot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
978,Tatsugiri (Curly Form),Dragon,Water,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Beach Set (Rare),https://www.serebii.net/pokemonpokopia/pokedex/tatsugiricurlyform.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
23,Ekans,Poison,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated graceful flower bed (Common),https://www.serebii.net/pokemonpokopia/pokedex/ekans.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
24,Arbok,Poison,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated graceful flower bed (Rare),https://www.serebii.net/pokemonpokopia/pokedex/arbok.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
173,Cleffa,Fairy,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Graceful flower bed (Common). Restrictions: Graceful flower bed [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/cleffa.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
35,Clefairy,Fairy,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Graceful flower bed (Common); Bronze landmark (Common). Restrictions: Graceful flower bed [time: Night]; Bronze landmark [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/clefairy.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
36,Clefable,Fairy,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Graceful flower bed (Very Rare); Bronze landmark (Rare). Restrictions: Graceful flower bed [time: Night]; Bronze landmark [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/clefable.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
174,Igglybuff,Normal,Fairy,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Flower garden stump stage (Common),https://www.serebii.net/pokemonpokopia/pokedex/igglybuff.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
39,Jigglypuff,Normal,Fairy,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Flower garden stump stage (Common); Recital stage (Common),https://www.serebii.net/pokemonpokopia/pokedex/jigglypuff.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
40,Wigglytuff,Normal,Fairy,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Recital stage (Rare),https://www.serebii.net/pokemonpokopia/pokedex/wigglytuff.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
50,Diglett,Ground,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded red tall grass (Common); Container snacking (Common),https://www.serebii.net/pokemonpokopia/pokedex/diglett.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
51,Dugtrio,Ground,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded red tall grass (Rare); House party (Common),https://www.serebii.net/pokemonpokopia/pokedex/dugtrio.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
66,Machop,Fighting,,Palette Town; Cloud Island,Befriend by building habitat: Boulder-shaded Tall Grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/machop.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
67,Machoke,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Grassy training field (Common); Box to the rhythm (Common),https://www.serebii.net/pokemonpokopia/pokedex/machoke.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
68,Machamp,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Grassy training field (Rare); Clink-clang iron construction (Rare),https://www.serebii.net/pokemonpokopia/pokedex/machamp.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
74,Geodude,Rock,Ground,Palette Town; Cloud Island,Befriend by building habitat: Tall Grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/geodude.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
75,Graveler,Rock,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Mossy boulder (Common),https://www.serebii.net/pokemonpokopia/pokedex/graveler.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
76,Golem,Rock,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Mossy boulder (Rare),https://www.serebii.net/pokemonpokopia/pokedex/golem.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
240,Magby,Fire,,Palette Town; Cloud Island,Befriend by building habitat: Pretty flower bed (Common),https://www.serebii.net/pokemonpokopia/pokedex/magby.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
126,Magmar,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Digging and burning (Common),https://www.serebii.net/pokemonpokopia/pokedex/magmar.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
467,Magmortar,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Mini kitchen (Rare),https://www.serebii.net/pokemonpokopia/pokedex/magmortar.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
438,Bonsly,Rock,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded red tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/bonsly.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
185,Sudowoodo,Rock,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded red tall grass (Rare); House party (Common),https://www.serebii.net/pokemonpokopia/pokedex/sudowoodo.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
198,Murkrow,Dark,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated red tall grass (Common); Tree-shaded graceful flower bed (Common). Restrictions: Elevated red tall grass [time: Night]; Tree-shaded graceful flower bed [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/murkrow.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
430,Honchkrow,Dark,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated red tall grass (Rare); Chirping recital (Rare). Restrictions: Elevated red tall grass [time: Morning/Day/Evening]; Chirping recital [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/honchkrow.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
246,Larvitar,Rock,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Mossy rest spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/larvitar.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
247,Pupitar,Rock,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded pink tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/pupitar.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
248,Tyranitar,Rock,Dark,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Toil in the soil (Rare); Mossy rest spot (Very Rare),https://www.serebii.net/pokemonpokopia/pokedex/tyranitar.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
270,Lotad,Water,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated red tall grass (Common); Uplifting duckweed (Common); Hot-spring Fishing Spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/lotad.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
271,Lombre,Water,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated red tall grass (Rare); Hot-spring Fishing Spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/lombre.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
272,Ludicolo,Water,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Uplifting duckweed (Rare),https://www.serebii.net/pokemonpokopia/pokedex/ludicolo.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
303,Mawile,Steel,Fairy,Palette Town; Cloud Island,Befriend by building habitat: Working the register (Common),https://www.serebii.net/pokemonpokopia/pokedex/mawile.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
324,Torkoal,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Mossy hot spring (Common),https://www.serebii.net/pokemonpokopia/pokedex/torkoal.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
401,Kricketot,Bug,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Red tall grass (Common); Music and magazines (Common),https://www.serebii.net/pokemonpokopia/pokedex/kricketot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
402,Kricketune,Bug,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Red tall grass (Rare); Music and magazines (Common),https://www.serebii.net/pokemonpokopia/pokedex/kricketune.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
441,Chatot,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated red tall grass (Common); Chirping recital (Common). Restrictions: Elevated red tall grass [time: Morning/Day/Evening]; Chirping recital [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/chatot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
447,Riolu,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Red tall grass (Common); Box to the rhythm (Common),https://www.serebii.net/pokemonpokopia/pokedex/riolu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
448,Lucario,Fighting,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Box to the rhythm (Common),https://www.serebii.net/pokemonpokopia/pokedex/lucario.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
479,Rotom (Stereo Rotom / DJ Rotom),Electric,Normal,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Story NPC (Stereo Rotom / DJ Rotom); befriend by building habitat: Music and magazines (Rare),https://www.serebii.net/pokemonpokopia/pokedex/stereorotom.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
636,Larvesta,Bug,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded graceful flower bed (Common),https://www.serebii.net/pokemonpokopia/pokedex/larvesta.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
637,Volcarona,Bug,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded graceful flower bed (Very Rare); Piping-hot lava (Rare),https://www.serebii.net/pokemonpokopia/pokedex/volcarona.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
722,Rowlet,Grass,Flying,Palette Town; Cloud Island,Befriend by building habitat: Fresh Veggie Field (Common),https://www.serebii.net/pokemonpokopia/pokedex/rowlet.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
723,Dartrix,Grass,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Pointy tree-shaded rocky tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/dartrix.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
724,Decidueye,Grass,Ghost,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Pointy tree-shaded rocky tall grass (Very Rare); Modern living (Rare),https://www.serebii.net/pokemonpokopia/pokedex/decidueye.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
813,Scorbunny,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Red tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/scorbunny.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
814,Raboot,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Open-air bath (Common); Refreshing locker room (Common),https://www.serebii.net/pokemonpokopia/pokedex/raboot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
815,Cinderace,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Red tall grass (Very Rare); Refreshing locker room (Rare),https://www.serebii.net/pokemonpokopia/pokedex/cinderace.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
819,Skwovet,Normal,,Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/skwovet.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
820,Greedent (Chef Dente),Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Story NPC (Chef Dente); befriend by building habitat: Chef's kitchen (Common),https://www.serebii.net/pokemonpokopia/pokedex/greedent.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
837,Rolycoly,Rock,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Railroad crossing (Common),https://www.serebii.net/pokemonpokopia/pokedex/rolycoly.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
838,Carkol,Rock,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Railroad crossing (Common),https://www.serebii.net/pokemonpokopia/pokedex/carkol.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
839,Coalossal,Rock,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Railroad crossing (Very Rare); Heavy iron (Rare),https://www.serebii.net/pokemonpokopia/pokedex/coalossal.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
848,Toxel,Electric,Poison,Rocky Ridges; Cloud Island,Befriend by building habitat: Lazy-photo album scrolling (Common),https://www.serebii.net/pokemonpokopia/pokedex/toxel.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
849,Toxtricity (Amped Form),Electric,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Amped rock stage (Common),https://www.serebii.net/pokemonpokopia/pokedex/toxtricityampedform.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
926,Fidough,Fairy,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Graceful flower bed (Common); Best bread bakery (Common). Restrictions: Graceful flower bed [time: Morning/Day/Evening]; Best bread bakery [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/fidough.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
927,Dachsbun,Fairy,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Graceful flower bed (Rare); Best bread bakery (Rare). Restrictions: Graceful flower bed [time: Morning/Day/Evening]; Best bread bakery [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/dachsbun.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
935,Charcadet,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Piping-hot lava (Common),https://www.serebii.net/pokemonpokopia/pokedex/charcadet.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
936,Armarouge,Fire,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Auspicious knight's shrine (Rare),https://www.serebii.net/pokemonpokopia/pokedex/armarouge.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
937,Ceruledge,Fire,Ghost,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Malicious knight's shrine (Common),https://www.serebii.net/pokemonpokopia/pokedex/ceruledge.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
969,Glimmet,Rock,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Creepy white rocks (Common); Container snacking (Common),https://www.serebii.net/pokemonpokopia/pokedex/glimmet.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
970,Glimmora,Rock,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Creepy white rocks (Rare); Container snacking (Common),https://www.serebii.net/pokemonpokopia/pokedex/glimmora.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
999,Gimmighoul,Ghost,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Mini museum (Common),https://www.serebii.net/pokemonpokopia/pokedex/gimmighoul.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
1000,Gholdengo,Steel,Ghost,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Absolute luxury (Rare),https://www.serebii.net/pokemonpokopia/pokedex/gholdengo.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
37,Vulpix,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Fluffy flower bed (Common),https://www.serebii.net/pokemonpokopia/pokedex/vulpix.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
38,Ninetales,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Fluffy flower bed (Rare); Nine flames (Common),https://www.serebii.net/pokemonpokopia/pokedex/ninetales.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
