pokopia_dex,category,pokopia_no,national_dex,name,species,form,serebii_name,type1,type2,area,habitats,habitat_areas,habitat_rarity,habitat_time,habitat_weather,nl_habitat_requirements,nl_time,nl_weather,specialties,ideal_habitat,favorites,underwater,classification,how_obtained,source_url
Main #171,Main,171,248,Tyranitar,Tyranitar,,Tyranitar,Rock,Dark,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Toil in the soil | Mossy rest spot,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Very Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Toil in the Soil - Vegetable Field (any) x4, Wheelbarrow x1 | Mossy Rest Spot - Moss x4",All day,All weather,"Crush, Bulldoze",Dark,"Stone stuff, Hard stuff, Luxury, Shiny stuff, Exercise, Spicy flavors",No,Armor Pokémon,Befriend by building habitat: Toil in the soil (Rare); Mossy rest spot (Very Rare),https://www.serebii.net/pokemonpokopia/pokedex/tyranitar.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #172,Main,172,270,Lotad,Lotad,,Lotad,Water,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Hydrated red tall grass | Uplifting duckweed | Hot-spring Fishing Spot,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain | Sun/Cloud/Rain,"Hot-spring Fishing Spot - Fishing Rod x1, Seat (any) x1, Hot-spring Water x1 | Uplifting Duckweed - Duckweed x4, Water x2 | Hydrated Red Tall Grass - Red Tall Grass x4, Water x2",All day,All weather,Water,Humid,"Lots of water, Lots of nature, Cleanliness, Containers, Noisy stuff, Dry flavors",Underwater capable,Water Weed Pokémon,Befriend by building habitat: Hydrated red tall grass (Common); Uplifting duckweed (Common); Hot-spring Fishing Spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/lotad.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #173,Main,173,271,Lombre,Lombre,,Lombre,Water,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Hydrated red tall grass | Hot-spring Fishing Spot,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Hot-spring Fishing Spot - Fishing Rod x1, Seat (any) x1, Hot-spring Water x1 | Hydrated Red Tall Grass - Red Tall Grass x4, Water x2",All day,All weather,Water,Humid,"Lots of water, Lots of nature, Cleanliness, Containers, Noisy stuff, Bitter flavors",Underwater capable,Jolly Pokémon,Befriend by building habitat: Hydrated red tall grass (Rare); Hot-spring Fishing Spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/lombre.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #174,Main,174,272,Ludicolo,Ludicolo,,Ludicolo,Water,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Uplifting duckweed,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Uplifting Duckweed - Duckweed x4, Water x2",All day,All weather,"Water, Hype",Humid,"Lots of water, Lots of nature, Play spaces, Containers, Noisy stuff, Dry flavors",Underwater capable,Carefree Pokémon,Befriend by building habitat: Uplifting duckweed (Rare),https://www.serebii.net/pokemonpokopia/pokedex/ludicolo.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #175,Main,175,303,Mawile,Mawile,,Mawile,Steel,Fairy,Palette Town; Cloud Island,Working the register,"Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Working the Register - Table (any) x2, Cash Register x1 (Palette Town Only)",All day,All weather,"Trade, Build",Bright,"Metal stuff, Cute stuff, Colorful stuff, Looks like food, Group Activities, Dry flavors",No,Deceiver Pokémon,Befriend by building habitat: Working the register (Common),https://www.serebii.net/pokemonpokopia/pokedex/mawile.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #176,Main,176,324,Torkoal,Torkoal,,Torkoal,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Mossy hot spring,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Moss x4, Hot-spring Water x2",All day,All weather,Burn,Warm,"Lots of fire, Stone stuff, Metal stuff, Hard stuff, Watching stuff, Dry flavors",No,Coal Pokémon,Befriend by building habitat: Mossy hot spring (Common),https://www.serebii.net/pokemonpokopia/pokedex/torkoal.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #177,Main,177,401,Kricketot,Kricketot,,Kricketot,Bug,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Red tall grass | Music and magazines,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Music and Magazines - CD Player x1, CD Rack x1, Magazine Rack x1 | Red Tall Grass - Red Tall Grass x4",All day,All weather,Hype,Dark,"Lots of nature, Wooden stuff, Noisy stuff, Colorful stuff, Watching stuff, Bitter flavors",No,Cricket Pokémon,Befriend by building habitat: Red tall grass (Common); Music and magazines (Common),https://www.serebii.net/pokemonpokopia/pokedex/kricketot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #178,Main,178,402,Kricketune,Kricketune,,Kricketune,Bug,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Red tall grass | Music and magazines,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Music and Magazines - CD Player x1, CD Rack x1, Magazine Rack x1 | Red Tall Grass - Red Tall Grass x4",All day,All weather,Hype,Dark,"Lots of nature, Wooden stuff, Noisy stuff, Colorful stuff, Watching stuff, Spicy flavors",No,Cricket Pokémon,Befriend by building habitat: Red tall grass (Rare); Music and magazines (Common),https://www.serebii.net/pokemonpokopia/pokedex/kricketune.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #179,Main,179,441,Chatot,Chatot,,Chatot,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Elevated red tall grass | Chirping recital,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening | Morning/Day/Evening,Sun/Cloud/Rain | Sun/Cloud/Rain,"Elevated Red Tall Grass - Red Tall Grass x4, High-up Location | Chirping Recital - Perch x1, Standing Mic x1",,,"Hype, Fly",Warm,"Nice breezes, Fabric, Slender objects, Play spaces, Noisy stuff, Sweet flavors",No,Music Note Pokémon,Befriend by building habitat: Elevated red tall grass (Common); Chirping recital (Common). Restrictions: Elevated red tall grass [time: Morning/Day/Evening]; Chirping recital [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/chatot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #180,Main,180,447,Riolu,Riolu,,Riolu,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Red tall grass | Box to the rhythm,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Box to the Rhythm - Punching Bag x1, Table (any) x1, CD Player x1 | Red Tall Grass - Red Tall Grass x4",All day,All weather,Build,Dark,"Exercise, Fabric, Construction, Gatherings, Watching stuff, Spicy flavors",No,Emanation Pokémon,Befriend by building habitat: Red tall grass (Common); Box to the rhythm (Common),https://www.serebii.net/pokemonpokopia/pokedex/riolu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #181,Main,181,448,Lucario,Lucario,,Lucario,Fighting,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Box to the rhythm,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Box to the Rhythm - Punching Bag x1, Table (any) x1, CD Player x1",All day,All weather,Build,Dark,"Exercise, Metal stuff, Construction, Complicated stuff, Healing, Dry flavors",No,Aura Pokémon,Befriend by building habitat: Box to the rhythm (Common),https://www.serebii.net/pokemonpokopia/pokedex/lucario.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #182,Main,182,479,Rotom (Stereo Rotom / DJ Rotom),Rotom,Stereo Rotom,Stereo Rotom,Electric,Normal,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Music and magazines,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Music and Magazines - CD Player x1, CD Rack x1, Magazine Rack x1",All day,All weather,DJ,Bright,"Shiny stuff, Glass stuff, Noisy stuff, Group Activities, Blocky stuff, Bitter flavors",No,Plasma Pokémon,Story NPC (Stereo Rotom / DJ Rotom); befriend by building habitat: Music and magazines (Rare),https://www.serebii.net/pokemonpokopia/pokedex/stereorotom.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #183,Main,183,636,Larvesta,Larvesta,,Larvesta,Bug,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tree-shaded graceful flower bed,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Tree-shaded Graceful Flower Bed - Mountain Flowers x4, Pointy Tree x1",All day,All weather,"Burn, Litter",Dry,"Lots of nature, Lots of fire, Sharp stuff, Wooden stuff, Symbols, Bitter flavors",No,Torch Pokémon,Befriend by building habitat: Tree-shaded graceful flower bed (Common),https://www.serebii.net/pokemonpokopia/pokedex/larvesta.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #184,Main,184,637,Volcarona,Volcarona,,Volcarona,Bug,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tree-shaded graceful flower bed | Piping-hot lava,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Piping-hot Lava - Molten Rock x1, Lava x2 | Tree-shaded Graceful Flower Bed - Mountain Flowers x4, Pointy Tree x1",All day,All weather,"Burn, Litter",Dry,"Lots of nature, Lots of fire, Letters and words, Wooden stuff, Symbols, Dry flavors",No,Sun Pokémon,Befriend by building habitat: Tree-shaded graceful flower bed (Very Rare); Piping-hot lava (Rare),https://www.serebii.net/pokemonpokopia/pokedex/volcarona.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #185,Main,185,722,Rowlet,Rowlet,,Rowlet,Grass,Flying,Palette Town; Cloud Island,Fresh Veggie Field,"Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,Fresh Veggie Field - Vegetable Field (any) x8 (Palette Town Only),All day,All weather,Grow,Dark,"Lots of nature, Wooden stuff, Nice breezes, Containers, Spinning stuff, Dry flavors",No,Grass Quill Pokémon,Befriend by building habitat: Fresh Veggie Field (Common),https://www.serebii.net/pokemonpokopia/pokedex/rowlet.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #186,Main,186,723,Dartrix,Dartrix,,Dartrix,Grass,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Pointy tree-shaded rocky tall grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Pointy Tree-shaded Rocky Tall Grass - Pointy Tree x1, Red Tall Grass x4, Large Boulder x1",All day,All weather,"Grow, Chop",Dark,"Lots of nature, Wooden stuff, Nice breezes, Slender objects, Cleanliness, Sour flavors",No,Blade Quill Pokémon,Befriend by building habitat: Pointy tree-shaded rocky tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/dartrix.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #187,Main,187,724,Decidueye,Decidueye,,Decidueye,Grass,Ghost,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Pointy tree-shaded rocky tall grass | Modern living,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Modern Living - Industrial Bed x1, Industrial Desk x1, Industrial Chair x1 | Pointy Tree-shaded Rocky Tall Grass - Pointy Tree x1, Red Tall Grass x4, Large Boulder x1",All day,All weather,"Grow, Chop",Dark,"Lots of nature, Spooky stuff, Wooden stuff, Nice breezes, Letters and words, Dry flavors",No,Arrow Quill Pokémon,Befriend by building habitat: Pointy tree-shaded rocky tall grass (Very Rare); Modern living (Rare),https://www.serebii.net/pokemonpokopia/pokedex/decidueye.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #188,Main,188,813,Scorbunny,Scorbunny,,Scorbunny,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Red tall grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,Red Tall Grass - Red Tall Grass x4,All day,All weather,Burn,Warm,"Lots of fire, Stone stuff, Soft stuff, Group Activities, Sharp stuff, Dry flavors",No,Rabbit Pokémon,Befriend by building habitat: Red tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/scorbunny.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #189,Main,189,814,Raboot,Raboot,,Raboot,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Open-air bath | Refreshing locker room,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Refreshing Locker Room - Office Locker x2, Potted Plant (any) x1, Seat (wide) x1, Punching Game x1 | Open-air Bath - Hot-srping Spout x1, Hot-srping water x2",All day,All weather,Burn,Warm,"Lots of fire, Stone stuff, Play spaces, Group Activities, Containers, Dry flavors",No,Rabbit Pokémon,Befriend by building habitat: Open-air bath (Common); Refreshing locker room (Common),https://www.serebii.net/pokemonpokopia/pokedex/raboot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #190,Main,190,815,Cinderace,Cinderace,,Cinderace,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Red tall grass | Refreshing locker room,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Refreshing Locker Room - Office Locker x2, Potted Plant (any) x1, Seat (wide) x1, Punching Game x1 | Red Tall Grass - Red Tall Grass x4",All day,All weather,"Burn, Hype",Warm,"Lots of fire, Stone stuff, Play spaces, Group Activities, Round stuff, Spicy flavors",No,Striker Pokémon,Befriend by building habitat: Red tall grass (Very Rare); Refreshing locker room (Rare),https://www.serebii.net/pokemonpokopia/pokedex/cinderace.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #191,Main,191,819,Skwovet,Skwovet,,Skwovet,Normal,,Palette Town; Cloud Island,Tree-shaded tall grass,"Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Tree-shaded Tall Grass - Large Tree (any) x1, Tall Grass x4  (Palette Town Only)",All day,All weather,"Search, Hype",Warm,"Soft stuff, Wooden stuff, Watching stuff, Looks like food, Round stuff, Dry flavors",No,Cheeky Pokémon,Befriend by building habitat: Tree-shaded tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/skwovet.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #192,Main,192,820,Greedent (Chef Dente),Greedent,Cook,Greedent,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Chef's kitchen,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Chef's Kitchen - Cooking Stove x1, Modern Sink x1, Plain Tabe x1, Stylish Cooking Pot x1, Cutting Board x1, Plated Food x1",All day,All weather,Party,Warm,"Soft stuff, Metal stuff, Group Activities, Looks like food, Luxury, Sweet flavors",No,Greedy Pokémon,Story NPC (Chef Dente); befriend by building habitat: Chef's kitchen (Common),https://www.serebii.net/pokemonpokopia/pokedex/greedent.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #193,Main,193,837,Rolycoly,Rolycoly,,Rolycoly,Rock,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Railroad crossing,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Railroad Crossing - Railway Track x1, Crossing gate x1",All day,All weather,"Burn, Gather",Warm,"Stone stuff, Lots of fire, Hard stuff, Metal stuff, Rides, Sour flavors",No,Coal Pokémon,Befriend by building habitat: Railroad crossing (Common),https://www.serebii.net/pokemonpokopia/pokedex/rolycoly.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #194,Main,194,838,Carkol,Carkol,,Carkol,Rock,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Railroad crossing,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Railroad Crossing - Railway Track x1, Crossing gate x1",All day,All weather,"Burn, Gather",Warm,"Stone stuff, Lots of fire, Hard stuff, Metal stuff, Rides, Spicy flavors",No,Coal Pokémon,Befriend by building habitat: Railroad crossing (Common),https://www.serebii.net/pokemonpokopia/pokedex/carkol.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #195,Main,195,839,Coalossal,Coalossal,,Coalossal,Rock,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Railroad crossing | Heavy iron,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Railroad Crossing - Railway Track x1, Crossing gate x1 | Heavy Iron - Iron Bed x1, Iron Table x1, Iron Chair x1, Lantern x1",All day,All weather,"Burn, Gather",Warm,"Stone stuff, Lots of fire, Hard stuff, Metal stuff, Rides, Spicy flavors",No,Coal Pokémon,Befriend by building habitat: Railroad crossing (Very Rare); Heavy iron (Rare),https://www.serebii.net/pokemonpokopia/pokedex/coalossal.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #196,Main,196,848,Toxel,Toxel,,Toxel,Electric,Poison,Rocky Ridges; Cloud Island,Lazy-photo album scrolling,"Rocky Ridges, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Lazy Photo-album Scrolling - Tablet x1, Paper Party Cups x1",All day,All weather,Generate,Humid,"Electronics, Shiny stuff, Noisy stuff, Glass stuff, Garbage, Sweet flavors",No,Baby Pokémon,Befriend by building habitat: Lazy-photo album scrolling (Common),https://www.serebii.net/pokemonpokopia/pokedex/toxel.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #197,Main,197,849,Toxtricity (Amped Form),Toxtricity,Amped Form,Toxtricity Amped Form,Electric,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Amped rock stage,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Amped / Low Key Rock Stage - Speaker x2, Small Stage x1, Standing Mic x1, Cool Electric Guitar OR Cool Bass Guitar x1",All day,All weather,"Generate, Hype",Humid,"Electronics, Play spaces, Noisy stuff, Slender objects, Sharp stuff, Spicy flavors",No,Punk Pokémon,Befriend by building habitat: Amped rock stage (Common),https://www.serebii.net/pokemonpokopia/pokedex/toxtricityampedform.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #198,Main,198,926,Fidough,Fidough,,Fidough,Fairy,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Graceful flower bed | Best bread bakery,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening | Morning/Day/Evening,Sun/Cloud/Rain | Sun/Cloud/Rain,"Best Bread Bakery - Bread Oven x1, Counter x2, Plated Food x1 | Graceful Flower Bed - Mountain Flowers x4","Morning, Daytime, Evening",All weather,Search,Warm,"Cute stuff, Watching stuff, Soft stuff, Lots of fire, Letters and words, Sweet flavors",No,Puppy Pokémon,Befriend by building habitat: Graceful flower bed (Common); Best bread bakery (Common). Restrictions: Graceful flower bed [time: Morning/Day/Evening]; Best bread bakery [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/fidough.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
